"party","handicapped_infants","water_project_cost_sharing","adoption_of_the_budget_resolution","physician_fee_freeze","el_salvador_aid","religious_groups_in_schools","anti_satellite_test_ban","aid_to_nicaraguan_contras","mx_missile","immigration","synfuels_corporation_cutback","education_spending","superfund_right_to_sue","crime","duty_free_exports","export_administration_act_south_africa"
"republican","n","y","n","y","y","y","n","n","n","y","absent","y","y","y","n","y"
"republican","n","y","n","y","y","y","n","n","n","n","n","y","y","y","n","absent"
"democrat","absent","y","y","absent","y","y","n","n","n","n","y","n","y","y","n","n"
"democrat","n","y","y","n","absent","y","n","n","n","n","y","n","y","n","n","y"
"democrat","y","y","y","n","y","y","n","n","n","n","y","absent","y","y","y","y"
"democrat","n","y","y","n","y","y","n","n","n","n","n","n","y","y","y","y"
"democrat","n","y","n","y","y","y","n","n","n","n","n","n","absent","y","y","y"
"republican","n","y","n","y","y","y","n","n","n","n","n","n","y","y","absent","y"
"republican","n","y","n","y","y","y","n","n","n","n","n","y","y","y","n","y"
"democrat","y","y","y","n","n","n","y","y","y","n","n","n","n","n","absent","absent"
"republican","n","y","n","y","y","n","n","n","n","n","absent","absent","y","y","n","n"
"republican","n","y","n","y","y","y","n","n","n","n","y","absent","y","y","absent","absent"
"democrat","n","y","y","n","n","n","y","y","y","n","n","n","y","n","absent","absent"
"democrat","y","y","y","n","n","y","y","y","absent","y","y","absent","n","n","y","absent"
"republican","n","y","n","y","y","y","n","n","n","n","n","y","absent","absent","n","absent"
"republican","n","y","n","y","y","y","n","n","n","y","n","y","y","absent","n","absent"
"democrat","y","n","y","n","n","y","n","y","absent","y","y","y","absent","n","n","y"
"democrat","y","absent","y","n","n","n","y","y","y","n","n","n","y","n","y","y"
"republican","n","y","n","y","y","y","n","n","n","n","n","absent","y","y","n","n"
"democrat","y","y","y","n","n","n","y","y","y","n","y","n","n","n","y","y"
"democrat","y","y","y","n","n","absent","y","y","n","n","y","n","n","n","y","y"
"democrat","y","y","y","n","n","n","y","y","y","n","n","n","absent","absent","y","y"
"democrat","y","absent","y","n","n","n","y","y","y","n","n","absent","n","n","y","y"
"democrat","y","y","y","n","n","n","y","y","y","n","n","n","n","n","y","y"
"democrat","y","n","y","n","n","n","y","y","y","n","n","n","n","n","y","absent"
"democrat","y","n","y","n","n","n","y","y","y","y","n","n","n","n","y","y"
"democrat","y","n","y","n","n","n","y","y","y","n","y","n","n","n","y","y"
"democrat","y","y","y","n","n","n","y","y","y","n","y","n","n","n","y","y"
"republican","y","n","n","y","y","n","y","y","y","n","n","y","y","y","n","y"
"democrat","y","y","y","n","n","n","y","y","y","n","y","n","n","n","y","y"
"republican","n","y","n","y","y","y","n","n","n","n","n","y","y","y","n","n"
"democrat","y","y","y","n","n","n","y","y","y","n","y","n","n","n","y","absent"
"democrat","y","y","y","n","n","n","y","y","y","y","n","n","y","n","y","y"
"republican","n","y","n","y","y","y","n","n","n","n","n","y","y","y","n","y"
"democrat","y","y","y","n","n","n","y","y","y","n","n","n","n","n","y","y"
"republican","n","y","n","y","y","y","n","n","n","n","n","y","y","y","n","n"
"republican","y","absent","n","y","y","y","n","n","n","y","n","y","absent","y","n","y"
"republican","y","y","n","y","y","y","n","n","n","n","n","n","y","y","n","y"
"republican","n","y","n","y","y","y","n","n","n","y","n","y","y","y","n","n"
"democrat","y","n","y","n","n","n","y","y","y","y","y","n","y","n","y","y"
"democrat","y","y","y","n","n","n","y","y","y","n","absent","n","n","n","n","absent"
"democrat","y","y","y","n","n","n","y","y","y","n","n","n","n","n","y","absent"
"democrat","y","n","y","n","n","n","y","y","y","n","n","n","n","n","n","y"
"democrat","y","n","y","n","n","n","y","y","y","n","n","n","n","n","y","y"
"democrat","y","y","y","n","n","n","y","y","y","n","y","n","n","n","n","absent"
"democrat","y","y","y","n","n","n","y","y","absent","n","y","n","n","n","y","absent"
"democrat","y","y","y","n","n","n","y","y","y","n","n","n","n","n","n","y"
"democrat","y","n","y","n","n","n","y","y","absent","n","n","n","n","n","n","absent"
"democrat","y","y","y","n","n","n","y","y","n","n","n","n","n","y","n","y"
"republican","n","absent","n","y","y","y","n","n","n","n","n","y","y","y","n","n"
"democrat","y","y","y","n","n","n","y","y","y","n","y","n","n","n","y","y"
"republican","n","y","n","y","y","y","n","absent","n","n","n","y","y","y","n","y"
"democrat","y","y","y","n","n","n","y","y","y","n","n","n","n","n","absent","absent"
"republican","y","y","n","y","y","y","n","n","n","y","n","y","y","y","n","n"
"democrat","y","y","y","n","n","y","absent","y","n","n","y","y","n","y","n","absent"
"republican","n","y","n","y","y","y","n","n","n","y","y","y","y","y","n","n"
"republican","n","y","n","y","y","y","n","n","n","y","y","y","y","y","n","y"
"republican","n","y","n","y","y","y","n","n","n","y","n","y","y","y","n","y"
"republican","n","y","n","y","y","y","n","n","n","y","n","y","y","y","n","y"
"republican","n","y","n","y","y","y","n","n","n","y","n","y","y","y","n","absent"
"democrat","y","y","y","n","n","absent","y","y","y","y","n","n","n","n","y","absent"
"republican","n","y","n","y","y","y","n","n","n","n","n","y","y","y","n","n"
"democrat","y","y","y","n","n","n","y","y","y","n","n","n","n","n","n","absent"
"democrat","y","y","y","n","n","n","y","y","y","n","y","n","n","n","n","y"
"democrat","y","y","y","n","n","n","y","y","y","n","y","absent","n","n","n","y"
"republican","y","y","n","y","y","y","y","n","n","n","n","y","y","y","n","y"
"republican","n","y","n","y","y","y","y","n","n","n","y","y","y","y","n","y"
"republican","n","y","n","y","y","y","n","n","n","y","n","y","y","y","n","n"
"democrat","y","absent","y","n","n","n","y","y","y","n","n","n","y","n","y","y"
"democrat","y","y","y","n","n","n","y","y","y","n","n","n","n","n","y","y"
"democrat","y","n","y","n","n","n","y","y","y","n","n","n","y","n","y","absent"
"republican","y","y","y","y","n","n","y","y","y","y","y","n","n","y","n","y"
"democrat","y","y","y","n","n","n","y","y","y","n","y","n","n","n","y","absent"
"republican","y","n","y","y","y","n","y","n","y","y","n","n","y","y","n","y"
"democrat","y","n","y","n","n","y","y","y","y","y","y","n","n","y","y","y"
"democrat","n","y","y","y","y","y","n","n","n","y","y","n","y","y","n","n"
"democrat","n","y","y","n","y","y","n","n","n","y","y","y","y","y","n","absent"
"democrat","n","y","y","y","y","y","n","y","y","y","y","y","y","y","n","y"
"democrat","y","y","y","n","y","y","n","n","n","y","y","n","y","y","n","y"
"republican","n","n","n","y","y","n","n","n","n","y","n","y","y","y","n","n"
"democrat","y","n","y","n","n","y","y","y","y","y","n","y","n","y","n","absent"
"democrat","y","n","y","n","n","n","y","y","absent","y","y","y","n","y","n","y"
"republican","n","n","n","y","y","y","n","n","n","y","n","y","y","y","n","y"
"republican","n","n","n","y","y","y","n","n","n","n","n","y","y","y","n","n"
"republican","n","absent","n","y","y","y","n","n","n","y","n","y","y","y","n","n"
"democrat","n","n","y","n","y","y","n","n","n","y","y","y","y","y","n","y"
"republican","n","n","n","y","y","y","n","n","n","y","n","y","y","y","n","n"
"republican","n","n","n","y","y","y","n","n","n","n","n","y","y","y","n","n"
"democrat","n","y","y","n","y","y","y","n","y","y","y","n","y","y","n","y"
"republican","n","n","n","y","y","y","n","n","n","y","n","absent","y","y","n","absent"
"democrat","y","n","y","n","n","n","y","y","y","y","n","n","n","n","y","y"
"democrat","y","n","y","n","n","n","y","y","y","y","y","n","n","n","y","y"
"democrat","y","y","y","n","n","n","y","y","n","y","y","n","n","absent","y","y"
"democrat","y","n","y","n","n","n","y","n","y","y","y","n","n","n","y","y"
"democrat","y","n","y","n","y","y","n","n","n","n","n","n","n","n","n","y"
"democrat","y","n","y","n","y","y","n","absent","absent","n","y","absent","absent","absent","y","y"
"democrat","n","n","absent","n","y","y","n","n","n","n","y","y","y","y","n","y"
"democrat","y","n","n","n","y","y","y","n","n","y","y","n","n","y","n","y"
"democrat","y","y","y","n","n","y","y","y","y","y","n","n","n","n","n","y"
"republican","n","n","n","y","y","y","n","n","n","y","absent","y","y","y","n","n"
"democrat","y","n","n","n","y","y","n","n","n","n","y","y","n","y","n","y"
"democrat","y","n","y","n","y","y","y","n","n","n","y","n","n","y","n","y"
"democrat","y","n","y","n","y","y","y","n","absent","n","y","n","y","y","y","absent"
"democrat","y","n","n","n","y","y","absent","n","absent","n","n","n","n","y","absent","n"
"democrat","absent","absent","absent","absent","n","y","y","y","y","y","absent","n","y","y","n","absent"
"democrat","y","y","y","n","n","n","n","y","y","n","y","n","n","n","y","y"
"republican","n","y","n","y","y","y","n","n","n","n","n","y","y","y","n","y"
"republican","n","absent","absent","absent","absent","absent","absent","absent","absent","absent","absent","absent","absent","y","absent","absent"
"democrat","y","absent","y","n","n","n","y","y","y","n","n","n","n","n","y","absent"
"democrat","y","absent","y","n","n","n","y","y","y","n","n","n","n","n","y","absent"
"democrat","n","n","y","n","n","n","y","y","y","y","n","n","n","n","y","y"
"republican","n","absent","n","y","y","y","n","n","n","y","n","y","y","y","n","y"
"democrat","n","absent","y","n","n","y","y","y","n","y","n","n","n","n","y","absent"
"republican","n","absent","n","y","y","y","n","n","n","y","n","y","y","y","n","n"
"democrat","y","absent","y","n","n","n","y","y","y","n","n","n","n","n","y","absent"
"democrat","n","absent","y","n","absent","absent","y","y","y","y","absent","absent","n","n","y","y"
"democrat","y","n","y","n","n","n","y","y","y","n","y","n","n","n","y","y"
"republican","y","y","y","y","y","n","y","n","n","n","n","y","y","y","n","y"
"democrat","n","y","y","n","n","n","n","y","y","y","y","n","n","n","y","y"
"republican","n","n","n","y","y","y","n","n","n","n","n","y","y","y","n","n"
"republican","n","absent","absent","y","y","y","n","n","n","y","n","y","y","y","absent","y"
"republican","n","absent","n","y","y","y","n","n","n","y","n","y","y","y","n","y"
"republican","n","n","n","y","y","y","n","n","n","y","n","y","n","y","n","y"
"republican","y","absent","n","y","y","y","n","y","n","n","n","y","y","y","n","y"
"democrat","n","absent","y","n","n","n","y","y","y","n","n","n","n","n","y","y"
"republican","n","absent","n","y","y","y","n","n","n","y","n","y","y","y","n","y"
"republican","n","absent","n","y","y","y","n","n","n","n","n","y","y","y","n","n"
"democrat","n","absent","y","n","n","n","y","y","y","y","y","n","n","y","y","y"
"democrat","n","absent","y","n","n","y","n","y","n","y","y","n","n","n","y","y"
"democrat","absent","absent","y","n","n","n","y","y","absent","n","absent","absent","absent","absent","absent","absent"
"democrat","y","absent","y","n","absent","absent","y","y","y","n","n","n","n","n","y","absent"
"democrat","n","n","y","n","n","y","n","y","y","y","n","n","n","y","n","y"
"republican","n","n","n","y","y","y","n","n","n","y","n","y","y","y","n","absent"
"republican","n","n","n","y","y","y","n","n","n","y","n","y","y","y","n","y"
"republican","n","n","n","y","y","y","n","n","n","n","n","y","y","y","n","absent"
"republican","n","n","n","y","y","y","n","n","n","y","n","y","y","y","n","n"
"republican","n","y","n","y","y","y","n","n","n","y","y","y","y","n","n","y"
"democrat","n","absent","y","n","n","y","y","y","y","y","n","n","n","y","y","y"
"democrat","n","n","y","n","n","y","y","y","y","y","n","n","n","y","n","y"
"democrat","y","n","y","n","n","y","y","y","y","n","n","n","n","n","y","y"
"republican","n","n","n","y","n","n","y","y","y","y","n","n","y","y","n","y"
"republican","n","n","n","y","y","y","y","y","y","y","n","y","y","y","absent","y"
"republican","n","n","n","y","y","y","y","y","y","y","n","y","y","y","n","y"
"democrat","absent","y","n","n","n","n","y","y","y","y","y","n","n","y","y","y"
"democrat","n","absent","n","n","n","y","y","y","y","y","n","n","n","y","n","absent"
"democrat","n","n","y","n","n","y","y","y","y","y","n","n","n","y","absent","y"
"republican","n","y","n","y","y","y","n","n","n","n","n","y","y","y","n","y"
"democrat","n","n","n","n","n","n","y","y","y","y","n","y","y","y","y","y"
"republican","n","y","n","y","y","y","n","n","n","y","y","y","y","y","n","y"
"democrat","n","n","y","n","n","n","y","y","y","y","n","n","y","n","y","y"
"republican","y","y","n","y","y","y","n","n","n","y","n","y","y","y","n","y"
"democrat","y","y","absent","y","y","y","n","n","y","n","y","absent","y","y","n","n"
"democrat","n","y","y","n","n","y","n","y","y","y","y","n","y","n","y","y"
"democrat","n","n","y","n","n","y","y","y","y","y","y","n","y","y","n","y"
"republican","n","y","n","y","y","y","n","n","n","n","n","y","y","y","n","n"
"republican","y","y","n","y","y","y","n","absent","n","n","y","y","y","y","n","n"
"republican","y","y","n","y","y","y","y","n","n","n","n","y","y","y","n","n"
"democrat","n","y","y","n","n","y","n","y","y","n","y","n","absent","absent","absent","absent"
"republican","n","y","n","y","y","y","n","n","n","y","n","y","y","y","n","n"
"democrat","n","y","y","n","absent","y","y","y","y","y","y","n","n","absent","n","absent"
"democrat","n","y","n","n","y","y","n","n","n","n","n","y","y","y","y","y"
"democrat","n","n","n","n","y","y","y","n","n","n","n","y","y","y","n","y"
"democrat","n","y","y","n","y","y","y","n","n","n","y","y","y","y","n","y"
"republican","n","y","n","y","y","y","y","n","n","n","n","y","y","y","n","y"
"democrat","y","y","n","n","y","y","n","n","n","y","y","y","y","y","n","absent"
"democrat","n","y","y","n","n","y","y","y","y","y","y","n","y","n","y","absent"
"republican","y","n","y","y","y","y","y","y","n","y","n","y","n","y","y","y"
"republican","y","n","y","y","y","y","y","y","n","y","y","y","n","y","y","y"
"democrat","n","n","y","y","y","y","n","n","y","n","n","n","y","y","y","absent"
"democrat","y","n","y","n","n","n","y","y","y","y","y","n","n","y","n","y"
"democrat","y","n","y","n","n","n","absent","y","y","absent","n","n","n","n","y","absent"
"republican","n","absent","n","y","y","y","n","n","n","y","n","y","y","y","n","y"
"democrat","n","y","y","n","n","n","y","y","y","y","n","n","absent","n","y","y"
"democrat","n","n","n","n","y","y","n","n","n","y","y","y","y","y","n","y"
"democrat","y","absent","y","n","n","n","y","y","y","n","n","n","n","n","y","absent"
"democrat","n","y","y","n","n","n","y","y","y","y","n","n","n","n","y","y"
"republican","n","n","y","y","n","n","y","y","y","y","n","n","n","y","y","y"
"democrat","n","n","y","n","n","n","y","y","y","y","y","absent","n","n","y","y"
"democrat","absent","n","y","n","n","n","y","y","y","y","y","absent","n","n","y","absent"
"democrat","y","n","y","n","n","n","y","y","y","y","n","n","n","n","y","y"
"democrat","absent","absent","y","n","n","n","y","y","y","absent","absent","n","n","n","absent","absent"
"democrat","n","n","y","n","n","n","y","y","y","y","y","n","n","n","y","y"
"democrat","y","absent","y","n","n","n","y","y","y","n","n","n","n","n","y","y"
"democrat","absent","absent","absent","absent","absent","absent","absent","absent","y","absent","absent","absent","absent","absent","absent","absent"
"democrat","n","n","y","n","n","n","y","y","y","y","y","n","n","n","y","y"
"democrat","y","n","y","n","n","n","y","y","y","y","n","absent","n","n","y","y"
"democrat","n","y","y","n","n","n","y","y","y","y","y","n","n","n","y","y"
"democrat","y","n","y","n","n","n","y","y","y","n","n","n","n","n","y","absent"
"republican","y","absent","n","y","y","y","y","y","n","n","n","y","absent","y","absent","absent"
"democrat","y","n","y","n","n","n","y","y","y","n","n","n","n","n","y","y"
"republican","n","absent","n","y","y","y","n","n","n","n","n","y","y","y","n","absent"
"republican","n","y","n","y","y","y","n","absent","n","y","n","y","y","y","n","absent"
"democrat","n","n","n","n","n","y","y","y","y","n","y","n","n","y","y","y"
"democrat","n","n","y","n","n","n","y","y","y","n","n","n","n","n","y","y"
"democrat","n","n","y","n","n","y","y","absent","y","y","y","n","n","n","y","y"
"republican","n","n","n","y","y","y","n","n","n","n","n","y","y","y","n","absent"
"democrat","n","n","y","n","n","y","y","y","y","n","y","y","n","y","y","absent"
"republican","n","absent","y","y","y","y","n","n","n","y","n","n","n","y","n","y"
"democrat","n","n","y","n","n","n","y","y","y","y","y","n","absent","n","y","absent"
"democrat","y","y","n","n","n","n","y","y","absent","n","y","n","n","n","y","absent"
"democrat","n","n","y","n","n","n","y","y","y","n","n","n","n","y","y","y"
"democrat","y","y","y","n","n","n","y","y","y","n","n","n","n","n","y","y"
"democrat","y","n","y","n","n","y","y","y","y","y","y","n","n","n","y","y"
"democrat","y","n","y","n","n","n","y","y","y","y","n","n","n","n","y","y"
"republican","n","n","y","y","y","y","y","n","n","n","n","y","y","y","n","y"
"democrat","n","n","y","n","n","y","y","y","y","y","n","y","n","n","n","y"
"republican","n","n","n","y","y","y","n","n","n","y","n","y","n","y","n","y"
"republican","y","absent","n","y","y","y","y","n","n","y","n","y","y","y","n","y"
"democrat","n","n","y","n","n","n","y","y","y","n","n","absent","n","n","y","y"
"democrat","y","y","y","n","n","n","y","y","y","y","y","n","n","n","n","y"
"democrat","n","n","y","n","n","y","y","y","y","n","n","n","n","n","y","y"
"republican","n","y","n","y","y","y","n","n","n","y","n","y","y","y","n","y"
"democrat","n","n","y","n","n","n","y","y","y","n","y","n","n","n","y","y"
"democrat","n","y","y","n","n","y","n","y","y","n","y","n","y","n","y","y"
